_id,utm_medium,app__os
de974bbd30,organic,iOS
6e38b78ef6,invite,iOS
5655d8485c,,android
ab0c976846,invite,android
69be64a10f,invite,iOS
94420f44de,invite,android
e4d3582a05,invite,android
706045858f,invite,iOS
332b6466d2,organic,iOS
d59c2857cb,invite,iOS
4f17ca9163,invite,iOS
6cf0011885,affiliate,android
86f09271b7,invite,android
e20de77fb0,invite,android
53b14e3a07,invite,iOS
501a9b2222,invite,iOS
8d6e9f469c,invite,iOS
4c735e3ea5,organic,iOS
d51a88a688,invite,android
8982a6b0b8,organic,iOS
16b1d7fd64,invite,android
9ed0f73104,invite,android
76b31f7356,invite,android
44e7ec36d0,invite,iOS
aa900bc033,cross-promotion,android
e7aaf55637,invite,iOS
6f39e759c6,invite,Win32NT
aeb443c0e9,invite,android
030f81f289,invite,android
557e127025,organic,iOS
abdfd65377,invite,iOS
f7cf1f8bb2,invite,android
0ce353b617,invite,android
5d5be67a58,invite,iOS
d6053dec1c,invite,iOS
05da5153c1,invite,iOS
18e6387d1f,invite,iOS
491e4c2df7,invite,android
857b94f46a,invite,android
43fee69d11,invite,iOS
432dbe9294,invite,android
7b716ed72e,invite,iOS
732ef83754,invite,iOS
51a6e9b15e,invite,android
16ff2ab607,invite,android
b497fa8a46,invite,android
a5a857cc9d,invite,iOS
5e3a5afb85,invite,iOS
2266bddf0c,organic,iOS
339138d6a7,invite,iOS
b19e4ce451,cpc,iOS
5c4027001e,invite,iOS
f4d4d7fd61,organic,Win32NT
521b397dc2,organic,iOS
1d9d068d1b,organic,iOS
bbd99446b8,invite,iOS
61265763dc,organic,iOS
c0cd81065a,invite,android
887ecb4b9b,invite,android
185a3819b0,invite,android
975ddee2a8,invite,iOS
e29780a926,invite,iOS
6375d2bd23,invite,iOS
2950bb6d94,invite,android
d79c4d5d40,cross-promotion,android
db758b7965,invite,android
8fc2ec7c32,invite,android
eeedc9d684,organic,iOS
4ff84df09c,invite,android
7bf25fe1d2,invite,iOS
e7a0c8c853,invite,iOS
81a87492b7,blogger,android
da1ed3829d,invite,android
e5b741f09c,offline,
55e150f802,invite,android
9e39b2fa19,invite,iOS
50cfca888f,invite,android
cb45a09129,invite,android
15b06144d6,invite,iOS
4172937435,cross-promotion,android
808e080cb8,invite,iOS
12e5543d46,invite,iOS
e1dc477150,invite,android
5ff5b48e24,invite,android
1b051d5a0b,email,iOS
1fecede428,invite,iOS
095c2ba661,invite,iOS
101ce8c561,invite,iOS
e65c1610ba,organic,iOS
0ba8add7c1,invite,iOS
a84772aaa8,invite,iOS
ff4c1b9c52,invite,android
dd7cba44f7,invite,iOS
327b17f933,invite,iOS
40ce95a2fc,invite,iOS
4cae945e35,invite,android
1284867eb4,organic,iOS
38f65dcaf9,email,iOS
f49feb8005,invite,android
6c127cb0d0,organic,iOS
1e22306395,invite,iOS
3b170ff5bc,email,iOS
4bd712a195,invite,iOS
735f3440c9,invite,iOS
eacece694f,invite,iOS
d9c401aadf,organic,android
2e24a5b02e,invite,android
22ab7e4f4b,invite,iOS
ca13fe11c5,invite,iOS
6e587b4626,invite,android
0923ea878c,organic,android
c3fe7f2216,invite,android
a5a38a5a15,organic,iOS
339555b74b,invite,android
8ed45bb3ee,invite,iOS
100419309d,organic,iOS
22035a90f1,invite,android
e83df5b266,organic,iOS
6ce983aafa,invite,iOS
b8883c1166,invite,iOS
9197eb2d1f,organic,iOS
a8d24c5413,offline,iOS
028b87ca0f,invite,android
9bb338b703,invite,android
a4fab1e916,invite,android
1eb0313c6c,invite,iOS
2818364f2e,invite,iOS
5eda51d697,organic,iOS
57a803f262,invite,android
c394353708,invite,iOS
cec4a0f77b,invite,iOS
3338e956d5,invite,android
e2a45c3016,organic,iOS
e1519825c9,organic,android
cffc3329d6,organic,android
e7c3dd0c82,invite,android
db9ea91339,invite,android
0c75288dc0,cross-promotion,iOS
7802ad7ec2,invite,iOS
82e380fca7,invite,android
018ba0a8af,invite,android
92b11147d9,organic,android
5759bf3f8d,invite,iOS
76bfded997,invite,iOS
0953e2aedf,blogger,android
d024ea7dfc,invite,iOS
11bcfcde55,invite,android
da6c99d4d7,invite,android
0148454d7e,invite,android
2a362f1261,organic,iOS
a4516192a1,organic,iOS
69cbb8a141,invite,android
3539dd3138,invite,Win32NT
ff6532ed4f,invite,iOS
465a1ee79f,invite,android
ca7d412ff8,invite,iOS
fe24e0d551,invite,iOS
10e9fed4c3,invite,iOS
ae7ac14dd2,invite,iOS
30f090eb04,organic,iOS
3de672c0ac,invite,iOS
439cc48ccc,invite,iOS
8359c36cdd,invite,iOS
f79aa20232,invite,iOS
6a96e250a5,invite,iOS
682c52ced1,organic,android
8b432f4e1d,invite,iOS
9c8a31a739,invite,iOS
fee49fd863,invite,iOS
37196eddd8,invite,iOS
add2574f35,organic,iOS
8753a11fb0,invite,android
9d31a8d9da,invite,iOS
5d522e0bef,invite,android
2c4b977969,organic,iOS
ec8c884bf3,invite,iOS
81c67c0db8,invite,iOS
5536693352,invite,iOS
19193478b4,organic,iOS
6ab1997c7f,email,iOS
36f2ec4953,invite,android
2ccbc0a980,invite,iOS
08b1d0cbdf,invite,android
9df46ebe44,invite,android
c6cadb8f7f,cross-promotion,iOS
b3522f0430,invite,iOS
e57c617177,cross-promotion,iOS
088a39ff9b,invite,iOS
0c9c4f6efb,invite,iOS
739d248d94,blogger,android
a5905aa439,organic,android
4086bf400e,invite,iOS
dec422dc55,cross-promotion,iOS
2cb960a1fc,organic,android
8e67c46480,invite,android
08b86e7088,invite,iOS
43a43cda33,invite,iOS
bfafd03b3f,invite,android
34a0c4d150,organic,iOS
b698cd93f3,invite,iOS
d289b15de7,invite,android
71fdcb9b89,organic,android
e25d1637cf,invite,iOS
2b65757ef3,invite,iOS
a73e6857dd,invite,iOS
8c9df37202,invite,iOS
bb0ac1b248,invite,iOS
651ce02676,invite,Win32NT
9179f38010,invite,iOS
bb8f6fe3cf,invite,android
b6493a2000,invite,iOS
87c40dcea9,invite,android
7cb93815cd,invite,iOS
7386f47b96,invite,android
97589dd245,organic,iOS
26928e3d11,invite,android
33f34508cf,invite,android
c17e6a23ba,invite,android
b82ae67d62,organic,iOS
b82bba7dc6,invite,android
2ffbf1d079,invite,iOS
e326b6134c,invite,android
03a3aa8755,invite,iOS
580d149741,organic,iOS
882cd7edb1,invite,android
212243c208,invite,iOS
189c738934,invite,iOS
220f01fb3c,invite,iOS
3bb646a244,invite,iOS
873b99facd,invite,iOS
14f9221b12,invite,iOS
02eddb464a,invite,android
3000281a7c,invite,iOS
8733bb03c5,invite,iOS
d242927787,invite,Win32NT
8a8c146631,organic,android
6910dacb50,cpc,android
724fdbf784,invite,android
b05a599d64,invite,android
273bd09ca0,invite,android
e172b91f72,invite,iOS
a6364a6722,invite,iOS
c09748f124,invite,android
c654a4f30c,cross-promotion,iOS
b02250db94,invite,android
24b853bbbe,invite,iOS
884c906369,invite,android
c468eabb16,offline,iOS
6684216685,invite,Win32NT
d1539296e8,invite,iOS
df4056259a,invite,iOS
1dd419b848,invite,iOS
0b6a9a5747,organic,android
017cd949ba,invite,android
bb84c942cd,organic,android
dda887eff9,organic,iOS
db69c17527,invite,iOS
8984419f21,invite,iOS
17b15fd795,invite,android
f69fdf8227,organic,iOS
3d9cb62a01,invite,iOS
92c6e519d8,organic,iOS
73ed1e0b36,invite,android
cf5c692826,invite,iOS
c24428f0af,invite,android
cdc62c45fe,invite,iOS
5016ed8f49,cross-promotion,iOS
1a479decff,cross-promotion,android
5055bd79db,affiliate,android
697e2d28e3,invite,iOS
9b4d773742,invite,android
101fa64619,invite,iOS
0b32cfa271,invite,iOS
523e9c05b5,invite,iOS
d197c59a3f,invite,iOS
364cae5d54,organic,android
a2a3e02430,invite,android
ca2db5d265,invite,android
32aaa9dc8e,invite,iOS
fcc76053b4,invite,iOS
27b8190ea1,invite,iOS
aa81488b8d,organic,iOS
fd47cc5b59,invite,iOS
d498e24c3c,invite,android
bb5d8b15f7,invite,android
e86499b5c5,invite,iOS
0de2830d44,invite,iOS
5e3daf9189,invite,android
854edd8199,invite,android
30d6e59c1f,invite,iOS
957d65ec31,invite,iOS
d399882329,invite,android
67a3de771e,invite,iOS
a9f69837d0,invite,Win32NT
093fd44b87,invite,iOS
12f46a3bea,invite,iOS
ab0b87959d,invite,iOS
b7818a0d3b,organic,android
db51ba2edc,invite,android
3d578fe597,affiliate,android
5bfe4ffafd,invite,iOS
722f1347fe,invite,android
18a5831075,invite,iOS
5272a843e5,invite,android
fa390ec97c,invite,iOS
ef0f864830,invite,iOS
307047b6bf,invite,android
bc97171c97,invite,iOS
94b5569f3d,invite,android
305d9aaed1,invite,iOS
1bafe2ad4a,invite,iOS
a5e152966b,offline,
1b740fd995,invite,iOS
3fbd0329f3,invite,android
9d5156f803,offline,
aeff7639e1,blogger,iOS
b4bc262cf5,organic,iOS
